customer_id,customer_name,birth_date,loan_id,loan_type,account_open_date,loan_amount,currency,status,email,phone_number
CUST00000,,11/8/2019,LN000000,,6/13/2017,9959.42,EUR,Active,user0@example.com,(99450) 801-5698
CUST00001,,10/19/2021,LN000001,credit,4/3/2018,4721.07,USD,Closed,user1@example.com,(99450) 803-1225
CUST00002,Aynur,,LN000002,,2/27/2020,14048.52,USD,Closed,,(99450) 921-7301
CUST00003,Leyla,4/8/2019,LN000003,Loan,10/17/2018,7333.39,USD,Closed,user3@example.com,(99450) 712-5194
CUST00004,Aynur,5/2/2020,LN000004,,4/15/2015,12819.48,USD,CLOSED,user4@example.com,(99450) 305-3840
CUST00005,Murad,6/2/2020,LN000005,LOAN,1/21/2022,13371.64,USD,,user5@example.com,
CUST00006,Ali,1/12/2019,LN000006,Credit Line,2/12/2019,12885.41,,Active,user6@example.com,(99450) 760-2760
CUST00007,,12/25/2019,LN000007,credit,11/15/2015,10547.86,EUR,Closed,user7@example.com,(99450) 774-8237
CUST00008,,10/16/2017,LN000008,Loan,3/11/2015,8849.84,USD,Closed,user8@example.com,(99450) 461-1064
CUST00009,Murad,3/12/2020,LN000009,credit,6/15/2021,11837.5,USD,Active,user9@example.com,(99450) 884-7150
CUST00010,Ali,9/3/2022,LN000010,,11/17/2020,9045.55,,active,user10@example.com,(99450) 883-5033
CUST00011,,5/9/2021,LN000011,Credit Line,8/21/2020,10666.58,AZN,Closed,user11@example.com,(99450) 839-5682
CUST00012,Leyla,,LN000012,credit,8/24/2017,8746.54,,,user12@example.com,(99450) 439-1559
CUST00013,Leyla,2/26/2018,LN000013,credit,11/21/2019,9734.66,EUR,,user13@example.com,(99450) 971-5969
CUST00014,Murad,2/20/2019,LN000014,Credit Line,11/14/2021,7052.55,EUR,active,user14@example.com,(99450) 563-7762
CUST00015,Ali,7/12/2018,LN000015,credit,1/1/2015,11660.3,EUR,,user15@example.com,(99450) 914-8648
CUST00016,Leyla,3/14/2021,LN000016,Credit Line,11/21/2018,10821.63,,,,(99450) 540-6248
CUST00017,Leyla,8/4/2016,LN000017,credit,1/15/2018,6315.12,AZN,,user17@example.com,
CUST00018,Aynur,6/10/2020,LN000018,,4/8/2022,9063.11,,Active,user18@example.com,(99450) 744-2910
CUST00019,Ali,2/26/2019,LN000019,LOAN,12/9/2015,12162.59,,active,user19@example.com,(99450) 937-4575
CUST00020,,4/14/2016,LN000020,credit,10/9/2016,7587.07,AZN,active,user20@example.com,(99450) 786-2464
CUST00021,Murad,8/14/2021,LN000021,credit,3/17/2022,7655.88,USD,active,user21@example.com,(99450) 547-0995
CUST00022,Murad,8/21/2015,LN000022,Loan,2/23/2016,9323.55,AZN,CLOSED,user22@example.com,(99450) 196-5124
CUST00023,,5/24/2016,LN000023,,12/27/2022,8261.75,EUR,Active,user23@example.com,(99450) 820-0951
CUST00024,Murad,12/13/2018,LN000024,Loan,1/3/2016,13864.89,USD,active,user24@example.com,(99450) 147-2620
CUST00025,Ali,1/25/2021,LN000025,LOAN,5/5/2016,8251.92,EUR,Active,user25@example.com,
CUST00026,,1/12/2022,LN000026,,10/24/2020,8572.14,USD,Closed,user26@example.com,(99450) 115-4804
CUST00027,,11/19/2021,LN000027,credit,5/25/2021,4032.75,,Active,user27@example.com,(99450) 713-9845
CUST00028,,3/1/2017,LN000028,LOAN,10/8/2015,9236.26,USD,CLOSED,user28@example.com,(99450) 868-5726
CUST00029,,7/26/2016,LN000029,LOAN,12/9/2015,11798.45,,,user29@example.com,(99450) 517-4598
CUST00030,Murad,9/8/2021,LN000030,Credit Line,9/26/2016,11560.47,AZN,Closed,user30@example.com,(99450) 613-8260
CUST00031,Aynur,7/23/2015,LN000031,Credit Line,3/11/2018,11692.37,AZN,,user31@example.com,(99450) 271-7186
CUST00032,,3/12/2019,LN000032,credit,6/5/2021,11353.08,,active,user32@example.com,(99450) 227-4812
CUST00033,Ali,3/1/2017,LN000033,LOAN,7/12/2016,14412.9,USD,active,user33@example.com,(99450) 920-8309
CUST00034,,3/1/2021,LN000034,Credit Line,8/20/2017,10602.51,EUR,Closed,,(99450) 869-5022
CUST00035,,7/27/2021,LN000035,LOAN,8/17/2018,8520.37,,CLOSED,user35@example.com,(99450) 665-0619
CUST00036,Ali,10/10/2021,LN000036,,7/18/2022,8686.5,USD,Closed,,(99450) 720-0208
CUST00037,Leyla,7/17/2017,LN000037,,6/24/2018,9137.21,USD,,user37@example.com,(99450) 465-1612
CUST00038,Ali,4/5/2022,LN000038,Credit Line,12/10/2020,8020.62,,active,user38@example.com,(99450) 183-7342
CUST00039,,11/4/2019,LN000039,,12/25/2020,10848.93,EUR,Active,user39@example.com,(99450) 989-6242
CUST00040,Ali,11/19/2021,LN000040,LOAN,9/6/2015,11963.23,AZN,CLOSED,user40@example.com,(99450) 561-2815
CUST00041,Aynur,10/13/2016,LN000041,LOAN,9/19/2018,8825.91,EUR,CLOSED,user41@example.com,(99450) 723-3728
CUST00042,Ali,6/12/2019,LN000042,credit,8/27/2018,12739.97,AZN,Active,user42@example.com,(99450) 554-1609
CUST00043,Leyla,11/26/2020,LN000043,credit,6/21/2020,6990.54,,Closed,,(99450) 966-8943
CUST00044,Aynur,7/1/2015,LN000044,credit,11/7/2015,5203.31,,CLOSED,user44@example.com,(99450) 554-0070
CUST00045,Ali,9/20/2017,LN000045,LOAN,1/10/2022,8740.31,AZN,active,user45@example.com,(99450) 243-7030
CUST00046,Aynur,7/6/2017,LN000046,Credit Line,9/15/2020,5443.47,USD,Active,user46@example.com,(99450) 133-9614
CUST00047,,5/1/2015,LN000047,LOAN,invalid_date,7781.64,USD,active,user47@example.com,(99450) 630-0104
CUST00048,,8/15/2018,LN000048,credit,invalid_date,10293.22,AZN,,user48@example.com,(99450) 128-8853
CUST00049,Ali,8/9/2022,LN000049,Credit Line,4/14/2016,6096.35,USD,CLOSED,user49@example.com,(99450) 873-8534
CUST00050,,1/26/2020,LN000050,Credit Line,3/14/2021,10078.23,AZN,CLOSED,user50@example.com,(99450) 411-1714
CUST00051,,7/2/2020,LN000051,credit,1/1/2021,8320.33,AZN,,user51@example.com,(99450) 558-2786
CUST00052,Aynur,1/24/2019,LN000052,credit,12/21/2019,11330.76,AZN,Active,,(99450) 483-0317
CUST00053,,,LN000053,,6/1/2020,6466.67,AZN,CLOSED,user53@example.com,(99450) 503-2031
CUST00054,Aynur,12/22/2016,LN000054,LOAN,3/17/2018,8320.34,,CLOSED,user54@example.com,(99450) 657-2774
CUST00055,Leyla,,LN000055,Loan,3/20/2016,7966.12,EUR,Closed,user55@example.com,(99450) 646-1657
